Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2023-02-01,0.0,21.5,29.7,42.2,78.6,0.0,2.0
2023-02-02,0.0,19.9,30.4,37.0,73.6,0.0,1.9
2023-02-03,0.0,18.5,30.1,27.8,55.1,0.0,2.0
2023-02-04,0.0,19.1,31.4,15.6,60.3,0.0,2.1
2023-02-05,0.0,20.1,31.9,24.2,58.1,0.0,2.1
2023-02-06,0.0,19.8,32.7,22.0,68.7,0.0,1.9
2023-02-07,0.0,21.2,31.8,29.1,79.9,0.0,2.0
2023-02-08,0.0,21.7,32.6,31.5,84.5,0.0,2.0
2023-02-09,0.0,22.1,33.0,29.7,73.7,0.0,1.7
2023-02-10,0.0,20.3,32.8,23.3,75.3,0.0,1.8
2023-02-11,0.0,21.0,32.9,14.9,61.2,0.0,1.7
2023-02-12,0.0,22.0,34.2,14.1,63.0,0.0,2.2
2023-02-13,0.0,21.2,34.0,17.3,51.1,0.0,2.1
2023-02-14,0.0,18.5,32.7,13.1,47.0,0.0,2.7
2023-02-15,0.0,19.6,32.9,10.3,63.3,0.0,2.3
2023-02-16,0.0,20.6,33.3,12.0,66.3,0.0,2.5
2023-02-17,0.0,22.0,33.0,12.5,52.4,0.0,2.3
2023-02-18,0.0,21.0,32.8,18.8,66.3,0.0,2.0
2023-02-19,0.0,20.7,32.9,23.0,87.0,0.0,1.8
2023-02-20,0.0,21.3,31.9,30.7,78.6,0.0,2.3
2023-02-21,0.0,22.2,32.7,26.8,67.9,0.0,2.0
2023-02-22,0.0,22.6,34.3,16.0,64.7,0.0,1.9
2023-02-23,0.0,22.8,34.7,17.7,55.9,0.0,2.0
2023-02-24,0.0,21.6,33.5,22.1,66.0,0.0,2.3
2023-02-25,0.0,22.1,33.7,16.8,60.7,0.0,1.8
2023-02-26,0.0,23.0,33.7,15.0,54.6,0.0,2.3
2023-02-27,0.0,21.5,32.8,16.9,51.1,0.0,2.8
2023-02-28,0.0,21.3,33.3,14.1,59.4,0.0,2.5
